------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 45088 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58955)
[ ID] Interval       Transfer     Bandwidth
[  1] 52.0000-52.5000 sec  11.4 MBytes   191 Mbits/sec
[  1] 52.5000-53.0000 sec  3.71 MBytes  62.2 Mbits/sec
[  1] 53.0000-53.5000 sec  6.73 MBytes   113 Mbits/sec
[  1] 53.5000-54.0000 sec  7.40 MBytes   124 Mbits/sec
[  1] 54.0000-54.5000 sec  8.20 MBytes   138 Mbits/sec
[  1] 54.5000-55.0000 sec  7.77 MBytes   130 Mbits/sec
[  1] 55.0000-55.5000 sec  7.02 MBytes   118 Mbits/sec
[  1] 55.5000-56.0000 sec  7.58 MBytes   127 Mbits/sec
[  1] 56.0000-56.5000 sec  4.29 MBytes  71.9 Mbits/sec
[  1] 56.5000-57.0000 sec  8.39 MBytes   141 Mbits/sec
[  1] 57.0000-57.5000 sec  8.33 MBytes   140 Mbits/sec
[  1] 57.5000-58.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 58.0000-58.5000 sec  3.54 MBytes  59.4 Mbits/sec
[  1] 58.5000-59.0000 sec  7.52 MBytes   126 Mbits/sec
[  1] 59.0000-59.5000 sec  7.40 MBytes   124 Mbits/sec
[  1] 59.5000-60.0000 sec  6.58 MBytes   110 Mbits/sec
[  1] 60.0000-60.5000 sec  7.02 MBytes   118 Mbits/sec
[  1] 60.5000-61.0000 sec  4.60 MBytes  77.3 Mbits/sec
[  1] 61.0000-61.5000 sec  7.64 MBytes   128 Mbits/sec
[  1] 61.5000-62.0000 sec  6.02 MBytes   101 Mbits/sec
[  1] 62.0000-62.5000 sec  7.77 MBytes   130 Mbits/sec
[  1] 62.5000-63.0000 sec  7.71 MBytes   129 Mbits/sec
[  1] 63.0000-63.5000 sec  7.71 MBytes   129 Mbits/sec
[  1] 63.5000-64.0000 sec  3.85 MBytes  64.6 Mbits/sec
[  1] 64.0000-64.5000 sec  7.08 MBytes   119 Mbits/sec
