------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.3 port 56020 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58662)
[ ID] Interval       Transfer     Bandwidth
[  1] 48.5000-49.0000 sec  3.27 MBytes  54.9 Mbits/sec
[  1] 49.0000-49.5000 sec  8.10 MBytes   136 Mbits/sec
[  1] 49.5000-50.0000 sec  7.77 MBytes   130 Mbits/sec
[  1] 50.0000-50.5000 sec  7.40 MBytes   124 Mbits/sec
[  1] 50.5000-51.0000 sec  4.65 MBytes  78.0 Mbits/sec
[  1] 51.0000-51.5000 sec  6.22 MBytes   104 Mbits/sec
[  1] 51.5000-52.0000 sec   997 KBytes  16.3 Mbits/sec
[  1] 52.0000-52.5000 sec  11.0 MBytes   185 Mbits/sec
[  1] 52.5000-53.0000 sec  4.04 MBytes  67.8 Mbits/sec
[  1] 53.0000-53.5000 sec  6.64 MBytes   111 Mbits/sec
[  1] 53.5000-54.0000 sec  7.84 MBytes   131 Mbits/sec
[  1] 54.0000-54.5000 sec  8.45 MBytes   142 Mbits/sec
[  1] 54.5000-55.0000 sec  8.01 MBytes   134 Mbits/sec
[  1] 55.0000-55.5000 sec  3.60 MBytes  60.4 Mbits/sec
[  1] 55.5000-56.0000 sec  8.58 MBytes   144 Mbits/sec
[  1] 56.0000-56.5000 sec  8.76 MBytes   147 Mbits/sec
[  1] 56.5000-57.0000 sec  4.33 MBytes  72.6 Mbits/sec
[  1] 57.0000-57.5000 sec  8.23 MBytes   138 Mbits/sec
[  1] 57.5000-58.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 58.0000-58.5000 sec  8.01 MBytes   134 Mbits/sec
[  1] 58.5000-59.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 59.0000-59.5000 sec  7.21 MBytes   121 Mbits/sec
[  1] 59.5000-60.0000 sec  3.54 MBytes  59.4 Mbits/sec
[  1] 60.0000-60.5000 sec  6.59 MBytes   111 Mbits/sec
[  1] 60.5000-61.0000 sec  8.39 MBytes   141 Mbits/sec
[  1] 61.0000-61.5000 sec  7.58 MBytes   127 Mbits/sec
[  1] 61.5000-62.0000 sec  6.71 MBytes   113 Mbits/sec
[  1] 62.0000-62.5000 sec  7.20 MBytes   121 Mbits/sec
[  1] 62.5000-63.0000 sec  7.89 MBytes   132 Mbits/sec
[  1] 63.0000-63.5000 sec  4.10 MBytes  68.8 Mbits/sec
[  1] 63.5000-64.0000 sec  7.51 MBytes   126 Mbits/sec
[  1] 64.0000-64.5000 sec  8.27 MBytes   139 Mbits/sec
[  1] 64.5000-65.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 65.0000-65.5000 sec  4.35 MBytes  73.0 Mbits/sec
[  1] 65.5000-66.0000 sec  7.71 MBytes   129 Mbits/sec
[  1] 66.0000-66.5000 sec  9.07 MBytes   152 Mbits/sec
[  1] 66.5000-67.0000 sec  7.71 MBytes   129 Mbits/sec
[  1] 67.0000-67.5000 sec  6.84 MBytes   115 Mbits/sec
[  1] 67.5000-68.0000 sec  4.35 MBytes  73.0 Mbits/sec
[  1] 68.0000-68.5000 sec  7.89 MBytes   132 Mbits/sec
[  1] 68.5000-69.0000 sec  6.83 MBytes   115 Mbits/sec
[  1] 69.0000-69.5000 sec  8.83 MBytes   148 Mbits/sec
[  1] 69.5000-70.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 70.0000-70.5000 sec  7.33 MBytes   123 Mbits/sec
[  1] 70.5000-71.0000 sec  7.20 MBytes   121 Mbits/sec
[  1] 71.0000-71.5000 sec  4.73 MBytes  79.3 Mbits/sec
[  1] 71.5000-72.0000 sec  7.76 MBytes   130 Mbits/sec
[  1] 72.0000-72.5000 sec  7.02 MBytes   118 Mbits/sec
[  1] 72.5000-73.0000 sec  8.21 MBytes   138 Mbits/sec
[  1] 73.0000-73.5000 sec  6.89 MBytes   116 Mbits/sec
[  1] 73.5000-74.0000 sec  7.40 MBytes   124 Mbits/sec
[  1] 74.0000-74.5000 sec  4.04 MBytes  67.7 Mbits/sec
[  1] 74.5000-75.0000 sec  7.15 MBytes   120 Mbits/sec
[  1] 75.0000-75.5000 sec  6.77 MBytes   114 Mbits/sec
[  1] 75.5000-76.0000 sec   807 KBytes  13.2 Mbits/sec
[  1] 76.0000-76.5000 sec  10.5 MBytes   175 Mbits/sec
[  1] 76.5000-77.0000 sec  4.58 MBytes  76.9 Mbits/sec
[  1] 77.0000-77.5000 sec  8.60 MBytes   144 Mbits/sec
[  1] 77.5000-78.0000 sec  8.20 MBytes   138 Mbits/sec
[  1] 78.0000-78.5000 sec  8.26 MBytes   139 Mbits/sec
[  1] 78.5000-79.0000 sec  4.16 MBytes  69.9 Mbits/sec
[  1] 79.0000-79.5000 sec  8.08 MBytes   136 Mbits/sec
[  1] 79.5000-80.0000 sec  8.89 MBytes   149 Mbits/sec
[  1] 80.0000-80.5000 sec  5.71 MBytes  95.8 Mbits/sec
[  1] 80.5000-81.0000 sec  6.78 MBytes   114 Mbits/sec
[  1] 81.0000-81.5000 sec  3.73 MBytes  62.5 Mbits/sec
[  1] 81.5000-82.0000 sec  8.21 MBytes   138 Mbits/sec
[  1] 82.0000-82.5000 sec  7.64 MBytes   128 Mbits/sec
[  1] 82.5000-83.0000 sec  7.89 MBytes   132 Mbits/sec
[  1] 83.0000-83.5000 sec  6.52 MBytes   109 Mbits/sec
[  1] 83.5000-84.0000 sec  4.17 MBytes  69.9 Mbits/sec
[  1] 84.0000-84.5000 sec  7.70 MBytes   129 Mbits/sec
[  1] 84.5000-85.0000 sec  7.52 MBytes   126 Mbits/sec
[  1] 85.0000-85.5000 sec  7.77 MBytes   130 Mbits/sec
[  1] 85.5000-86.0000 sec  8.51 MBytes   143 Mbits/sec
[  1] 86.0000-86.5000 sec  8.02 MBytes   134 Mbits/sec
[  1] 86.5000-87.0000 sec  3.66 MBytes  61.5 Mbits/sec
[  1] 87.0000-87.5000 sec  8.02 MBytes   135 Mbits/sec
[  1] 87.5000-88.0000 sec  2.77 MBytes  46.6 Mbits/sec
[  1] 88.0000-88.5000 sec  7.50 MBytes   126 Mbits/sec
[  1] 88.5000-89.0000 sec  8.68 MBytes   146 Mbits/sec
[  1] 89.0000-89.5000 sec  8.01 MBytes   134 Mbits/sec
[  1] 89.5000-90.0000 sec  8.14 MBytes   137 Mbits/sec
[  1] 90.0000-90.5000 sec  4.48 MBytes  75.1 Mbits/sec
